sample,bootstrap_id,model,label,fvu,mae
full_21,24,fin+text,H+Z,0.18457709545227505,4.164058715004863
full_21,24,fin+x+text,H+X+Z,0.15732195113251235,3.62144911951228
full_21,25,fin,H,0.2156475295529461,7.697044966361015
full_21,25,fin+x,H+X,0.055810755846473575,3.3666999405426474
full_21,25,fin+text,H+Z,0.07093213585005173,3.568327931395276
full_21,25,fin+x+text,H+X+Z,0.07023111181054087,3.9817642728930567
full_21,26,fin,H,0.13791397281120268,6.1094773834707095
full_21,26,fin+x,H+X,0.056182928306495655,3.9762235094755933
full_21,26,fin+text,H+Z,0.1311325409626966,4.9734110167896795
full_21,26,fin+x+text,H+X+Z,0.13199569398665226,5.076019616216784
full_21,27,fin,H,0.24635553043940808,7.39110694150144
full_21,27,fin+x,H+X,0.07113453654363995,3.9985630120222826
full_21,27,fin+text,H+Z,0.10642056614526454,4.560338748342123
full_21,27,fin+x+text,H+X+Z,0.0808547718639137,3.45179720282395
full_21,28,fin,H,0.17355330215290748,6.558202264314548
full_21,28,fin+x,H+X,0.08334031704767993,4.665035936664509
full_21,28,fin+text,H+Z,0.13560206144133208,5.024881894717207
full_21,28,fin+x+text,H+X+Z,0.11861142366874607,4.308982954859741
full_21,29,fin,H,0.6229143937685032,7.1760569274015715
full_21,29,fin+x,H+X,0.19077193501265607,4.022665145712328
full_21,29,fin+text,H+Z,0.33312984398538864,4.7180244438457555
full_21,29,fin+x+text,H+X+Z,0.3041302357808391,4.522167585012167
full_21,30,fin,H,0.1945110024662149,6.161806474850431
full_21,30,fin+x,H+X,0.04021117467204531,3.0060658136925196
full_21,30,fin+text,H+Z,0.0709332602119351,3.4610234010317953
full_21,30,fin+x+text,H+X+Z,0.06638735314220394,3.242173562500771
full_21,31,fin,H,0.12017256949052268,5.74473033914628
full_21,31,fin+x,H+X,0.03224569391770521,3.1426090284879007
full_21,31,fin+text,H+Z,0.021960981198681017,2.5517090785378183
full_21,31,fin+x+text,H+X+Z,0.0199655294820468,2.5604351775017196
full_21,32,fin,H,0.2445605290401532,6.376688942344139
full_21,32,fin+x,H+X,0.09473263092577278,4.071790509154009
full_21,32,fin+text,H+Z,0.06007909496419851,3.113393218013432
full_21,32,fin+x+text,H+X+Z,0.049941094411567424,2.8997206446145034
full_21,33,fin,H,0.10626139249674875,5.7363207072675655
full_21,33,fin+x,H+X,0.07300914730883003,4.211475748122019
full_21,33,fin+text,H+Z,0.09831403656201912,4.212455241517784
full_21,33,fin+x+text,H+X+Z,0.08693847178386843,3.8979104608820903
full_21,34,fin,H,0.1516546799814206,4.957099278449198
full_21,34,fin+x,H+X,0.05566394963055177,3.0221339288331954
full_21,34,fin+text,H+Z,0.03587790634261778,2.5506710946642444
full_21,34,fin+x+text,H+X+Z,0.01797041531783513,1.7946992868115388
full_21,35,fin,H,0.2220371405193243,6.902167390745383
full_21,35,fin+x,H+X,0.06204680422842925,3.6475719104207345
full_21,35,fin+text,H+Z,0.09039481181357001,4.392873996962582
full_21,35,fin+x+text,H+X+Z,0.06576494432407365,3.119663136778752
full_21,36,fin,H,0.2228961964685498,6.422659104432842
full_21,36,fin+x,H+X,0.0639291616035844,3.660936452682564
full_21,36,fin+text,H+Z,0.0965084293325527,3.83338347382231
full_21,36,fin+x+text,H+X+Z,0.08476021577454143,3.397990662523016
full_21,37,fin,H,0.18210701311919805,5.994709587570445
full_21,37,fin+x,H+X,0.04088545501485954,3.0686483682686747
full_21,37,fin+text,H+Z,0.06560220668252197,3.331529208871087
full_21,37,fin+x+text,H+X+Z,0.059290835610689804,2.981688924807134
full_21,38,fin,H,0.2463213126890624,7.306610690972783
full_21,38,fin+x,H+X,0.0467033318326499,3.340778019374711
full_21,38,fin+text,H+Z,0.06429721442019475,3.2798773224546998
full_21,38,fin+x+text,H+X+Z,0.06198553306249655,3.2827368436437543
full_21,39,fin,H,0.16060712809831126,7.177765801383806
full_21,39,fin+x,H+X,0.04427185313435244,3.702366267762198
full_21,39,fin+text,H+Z,0.0461323637698236,3.6479315856460417
full_21,39,fin+x+text,H+X+Z,0.038338340822060585,3.319272608612984
full_21,40,fin,H,0.2700384440285275,5.259031160394795
full_21,40,fin+x,H+X,0.04527063442861105,2.371537923469623
full_21,40,fin+text,H+Z,0.09852842482571326,3.0222841798077464
